Time,AvgPredGen,AvgPredNodes,AvgPredConnections,AvgPreyGen,AvgPreyNodes,AvgPreyConnections,predatorPop,predatorSpecies,preyPopulation,preySpecies
0,0,27,1,0,27,0,180,180,800,800
0.05,0,27,1,0,27,0,180,180,718,718
0.1,0,27,1,0,27,0,180,180,656,656
0.15,0,27,1,0,27,0,180,180,753,724
0.2,0,27,1,0,27,0,180,179,696,667
0.25,0,27,1,1,27,0,80,72,778,727
0.3,0,27,1,0,27,0,84,55,671,635
0.35,1,27,1,1,27,0,99,49,798,721
0.4,1,27,2,1,27,0,125,41,631,586
0.45,1,27,2,1,27,0,148,42,577,528
0.5,2,27,2,1,27,0,180,39,571,509
0.55,2,27,2,2,27,0,178,38,398,363
0.6,2,27,2,2,27,0,179,42,465,420
0.65,2,27,2,2,27,0,178,43,280,257
0.7,2,27,2,2,27,0,180,42,279,247
0.75,3,27,2,2,27,0,170,41,169,158
0.8,3,27,2,3,27,0,160,43,160,144
0.85,3,27,2,3,27,0,129,37,160,145
0.9,3,27,2,3,27,0,92,30,144,129
0.95,3,27,2,4,27,0,68,25,182,160
1,4,27,2,3,27,1,61,15,105,91
1.05,4,27,2,4,27,1,61,14,128,101
1.1,4,27,3,4,27,1,52,11,104,90
1.15,5,27,3,4,27,1,52,9,104,90
1.2,5,27,3,3,27,0,47,7,83,73
1.25,5,27,3,4,27,1,39,7,97,86
1.3,5,27,3,4,27,0,33,9,101,92
1.35,5,28,3,4,27,1,28,10,97,83
1.4,5,28,4,4,27,0,25,9,146,126
1.45,5,28,4,4,27,0,22,7,134,121
1.5,6,28,4,5,27,1,27,7,165,144
1.55,6,28,4,5,27,1,29,6,129,109
1.6,6,28,4,6,27,1,36,5,139,98
1.65,7,28,5,6,27,1,35,5,144,102
1.7,7,28,5,7,28,2,38,4,154,85
1.75,7,28,5,7,28,2,40,4,141,66
1.8,7,28,5,8,28,3,35,4,190,91
1.85,7,28,5,8,28,3,31,4,217,79
1.9,8,28,5,8,28,3,36,4,162,67
1.95,8,28,5,8,28,2,45,5,196,57
2,9,28,5,8,27,2,50,5,153,48
2.05,9,28,5,8,28,2,55,5,221,55
2.1,9,28,5,8,28,2,58,5,195,31
2.15,10,28,5,9,28,2,65,5,237,20
2.2,10,28,5,9,28,2,60,5,275,23
2.25,10,28,5,9,28,3,60,5,280,22
2.3,10,28,6,9,28,3,70,6,392,34
2.35,10,29,6,9,28,3,82,7,355,29
2.4,10,29,6,10,28,3,91,8,527,48
2.45,10,29,6,10,28,3,111,10,440,43
2.5,11,29,6,10,28,3,130,12,584,44
2.55,11,29,6,10,28,3,154,15,501,33
2.6,11,29,6,11,28,3,180,18,543,46
2.65,11,29,6,11,28,3,180,21,539,44
2.7,11,29,6,11,28,3,180,21,486,39
2.75,11,29,6,11,28,3,180,22,591,37
2.8,11,29,6,11,28,3,179,23,436,31
2.85,11,29,6,12,28,3,179,24,544,32
2.9,11,29,6,12,28,3,179,27,382,27
2.95,12,28,6,12,28,3,177,26,416,30
3,12,28,6,12,28,3,180,28,326,28
3.05,12,28,6,13,28,3,179,27,300,26
3.1,12,28,6,13,28,3,179,24,250,22
3.15,12,28,6,13,28,4,169,24,211,19
3.2,12,29,6,13,28,4,158,28,218,16
3.25,13,29,6,13,28,4,134,26,171,17
3.3,13,29,6,13,28,4,126,21,192,22
3.35,13,29,6,13,28,4,118,21,150,21
3.4,13,29,6,13,28,4,105,19,160,19
3.45,14,29,6,13,28,4,93,19,150,18
3.5,14,29,6,14,28,4,88,20,149,15
3.55,14,29,6,14,29,5,79,20,131,17
3.6,14,29,6,15,29,4,73,18,119,14
3.65,14,29,6,14,29,5,61,15,140,14
3.7,15,29,7,15,29,4,58,16,134,12
3.75,15,29,7,15,29,5,49,14,199,14
3.8,15,29,6,15,29,5,41,13,200,14
3.85,15,29,6,16,29,5,34,10,284,18
3.9,15,29,6,15,29,5,38,9,309,17
3.95,15,29,6,16,29,5,39,9,407,28
4,16,29,7,16,29,5,54,11,470,29
4.05,16,29,7,16,29,5,70,11,491,30
4.1,16,29,7,16,29,5,96,12,598,42
4.15,16,29,7,17,29,5,120,13,533,38
4.2,17,29,7,17,29,5,171,19,555,42
4.25,17,29,7,17,29,4,180,25,409,35
4.3,17,29,7,18,29,5,180,26,411,42
4.35,17,29,7,17,29,4,179,26,320,38
4.4,17,29,7,18,29,5,180,27,280,35
4.45,17,29,7,18,29,4,176,30,215,30
4.5,18,29,7,18,29,5,173,32,137,24
4.55,18,29,7,18,29,5,159,33,109,21
4.6,18,29,7,18,29,5,127,27,83,16
4.65,18,29,7,18,29,6,95,22,79,18
4.7,18,29,8,18,29,6,57,17,63,20
4.75,19,29,8,19,29,6,40,15,72,20
4.8,20,30,9,19,29,6,32,16,71,19
4.85,20,30,10,20,30,6,29,14,71,18
4.9,20,30,10,20,29,6,29,12,80,19
4.95,20,30,10,21,30,7,25,12,90,22
5,20,30,10,21,30,7,22,12,99,22
5.05,20,30,11,21,30,7,22,10,103,21
5.1,21,30,11,21,30,7,25,10,133,23
5.15,21,30,11,22,30,7,24,8,144,23
5.2,21,30,11,23,30,7,27,9,187,25
5.25,21,30,11,23,30,7,22,8,221,28
5.3,21,30,10,23,30,7,25,7,290,31
5.35,21,30,10,23,30,7,23,8,353,30
5.4,21,30,10,24,30,8,26,8,431,32
5.45,21,30,11,24,30,7,35,9,573,36
5.5,22,30,11,24,30,8,49,10,624,35
5.55,22,30,11,24,30,7,70,12,799,44
5.6,23,31,11,25,30,8,113,13,749,46
5.65,23,31,12,25,30,8,176,15,720,55
5.7,23,31,12,25,30,8,180,15,523,49
5.75,23,31,12,25,30,8,180,16,416,40
5.8,24,31,12,25,30,8,180,16,343,37
5.85,24,31,12,25,30,8,180,16,252,32
5.9,24,31,12,25,30,8,179,18,188,28
5.95,24,31,12,25,30,8,163,16,134,22
6,25,31,13,25,30,8,130,15,89,16
6.05,24,31,12,25,30,8,101,13,67,16
6.1,24,31,12,25,30,8,67,13,64,16
6.15,24,31,12,25,30,8,51,13,59,13
6.2,23,30,12,25,30,8,28,11,50,13
6.25,24,31,12,26,30,8,26,9,64,12
6.3,25,31,13,27,30,8,19,9,61,12
6.35,26,32,14,28,30,8,16,8,85,13
6.4,25,32,14,28,30,8,13,8,85,13
6.45,25,32,13,28,30,8,8,5,126,15
6.5,23,30,10,29,31,9,8,4,146,15
6.55,22,29,8,29,30,8,10,3,185,17
6.6,22,29,8,30,31,9,10,2,247,18
6.65,22,29,7,30,31,9,11,2,269,18
6.7,22,29,8,31,31,9,16,2,415,24
6.75,22,29,8,31,31,9,20,2,437,24
6.8,23,29,8,31,31,9,30,2,673,36
6.85,23,29,8,31,31,10,45,2,675,37
6.9,23,29,8,31,31,9,65,3,800,41
6.95,24,29,8,32,31,10,97,6,733,44
7,24,29,8,31,31,9,146,7,693,53
7.05,25,29,8,32,31,10,180,10,515,45
7.1,25,29,8,32,31,9,180,11,358,49
7.15,25,29,8,32,31,9,180,11,298,42
7.2,25,29,8,32,31,9,177,15,182,32
7.25,25,29,8,32,31,9,175,12,133,29
7.3,25,29,8,31,30,9,163,15,75,17
7.35,25,29,8,29,30,8,126,13,65,17
7.4,25,29,8,28,30,8,78,12,49,11
7.45,25,29,8,29,30,8,50,8,53,10
7.5,26,29,8,29,30,8,20,4,55,12
7.55,27,29,8,31,30,8,15,3,68,10
7.6,27,29,8,31,30,8,12,3,80,11
7.65,27,29,8,32,30,8,9,3,100,12
7.7,27,29,8,32,30,8,8,3,127,14
7.75,27,29,8,33,30,9,7,2,160,17
7.8,28,29,8,33,31,9,6,2,222,19
7.85,28,29,9,34,31,9,5,2,281,24
7.9,28,30,9,35,31,9,5,2,381,30
7.95,29,30,9,35,31,9,9,3,473,34
8,30,30,10,35,31,9,18,3,617,40
8.05,30,30,10,35,31,9,29,6,738,49
8.1,31,30,10,35,31,9,55,10,799,58
8.15,31,30,10,35,31,9,81,10,799,58
8.2,32,30,10,36,31,9,121,15,793,60
8.25,32,30,11,36,31,9,180,27,752,52
8.3,32,30,11,37,31,9,180,27,608,51
8.35,32,30,11,37,31,9,180,27,492,50
8.4,32,30,11,37,31,9,179,28,406,41
8.45,33,31,11,37,31,9,177,32,308,36
8.5,33,31,11,37,31,9,180,34,244,35
8.55,33,31,11,37,31,9,173,35,163,29
8.6,33,31,11,36,30,9,163,39,112,24
8.65,33,31,11,34,30,8,152,36,68,19
8.7,33,31,11,33,30,8,99,30,58,19
8.75,33,31,11,32,30,8,53,21,57,19
8.8,33,31,11,33,30,8,31,17,55,17
8.85,33,31,11,33,30,8,20,12,60,19
8.9,33,31,11,33,31,9,14,10,63,19
8.95,33,31,11,34,31,9,13,8,78,20
9,33,30,11,34,31,9,13,6,85,22
9.05,33,30,11,35,31,10,13,5,114,21
9.1,33,30,11,36,31,10,14,5,135,22
9.15,34,30,11,37,31,10,12,4,182,25
9.2,33,30,11,37,31,10,14,4,205,28
9.25,34,30,11,38,31,11,14,4,274,31
9.3,34,30,11,38,31,10,18,4,326,32
9.35,34,30,11,38,31,10,26,5,395,34
9.4,34,30,11,39,31,10,36,5,494,37
9.45,35,30,11,39,31,10,48,6,566,45
9.5,35,30,12,39,31,10,69,8,678,53
9.55,35,30,12,39,31,10,107,9,685,66
9.6,36,30,12,40,31,10,156,16,630,74
9.65,36,30,12,40,31,10,180,21,510,75
9.7,36,30,12,41,31,10,180,22,401,66
9.75,36,30,12,41,31,10,179,22,327,56
9.8,36,31,12,41,31,10,180,23,269,49
9.85,36,31,12,42,31,10,177,24,220,44
9.9,36,31,12,41,31,10,176,26,160,35
9.95,37,31,12,41,31,11,161,27,116,30
